id,ts,pm25,humedadRelativa,aqi
calidad-aire-01,2026-09-24T21:57:08.348Z,14.1,64,47.4
calidad-aire-01,2026-09-24T23:12:11.141Z,14.3,68,47.9
calidad-aire-01,2026-09-24T14:26:47.117Z,11.8,76,40.4
calidad-aire-01,2026-09-24T16:11:51.182Z,13.5,71,45.4
calidad-aire-01,2026-09-24T17:11:53.745Z,13,67,44
calidad-aire-01,2026-09-24T22:57:10.657Z,14.3,68,47.9
calidad-aire-01,2026-09-24T17:41:54.892Z,13.2,62,44.7
calidad-aire-01,2026-09-24T22:27:09.544Z,14.1,69,47.4
calidad-aire-01,2026-09-25T00:57:15.547Z,14,77,46.9
calidad-aire-01,2026-09-24T18:11:56.044Z,13.2,63,44.7
calidad-aire-01,2026-09-25T02:27:19.772Z,12.7,89,43.2
calidad-aire-01,2026-09-24T15:26:49.312Z,12.6,74,42.9
calidad-aire-01,2026-09-24T19:41:59.504Z,14.4,61,48.2
calidad-aire-01,2026-09-24T22:42:10.117Z,14.3,69,47.9
calidad-aire-01,2026-09-25T01:42:17.558Z,12.7,82,43.2
calidad-aire-01,2026-09-24T13:26:42.953Z,9,76,34.7
calidad-aire-01,2026-09-24T13:11:42.294Z,9,81,34.7
calidad-aire-01,2026-09-24T12:56:41.691Z,9,81,34.7
calidad-aire-01,2026-09-24T12:41:41.013Z,9,80,34.7
calidad-aire-01,2026-09-24T12:26:40.394Z,9,80,33.2
calidad-aire-01,2026-09-24T12:11:39.909Z,9,81,33.2
calidad-aire-01,2026-09-24T11:56:38.851Z,9,81,33.2
calidad-aire-01,2026-09-24T11:41:38.254Z,9,79,33.2
calidad-aire-01,2026-09-24T11:26:37.494Z,9,79,32
calidad-aire-01,2026-09-24T11:11:36.948Z,9,82,32
calidad-aire-01,2026-09-24T10:56:36.327Z,9,82,32
calidad-aire-01,2026-09-24T10:41:35.832Z,9,82,32
calidad-aire-01,2026-09-24T10:26:35.025Z,10.5,82,36.4
calidad-aire-01,2026-09-24T10:11:34.364Z,10.5,88,36.4
calidad-aire-01,2026-09-24T09:56:33.841Z,10.5,88,36.4
calidad-aire-01,2026-09-24T09:41:33.222Z,10.5,88,36.4
calidad-aire-01,2026-09-24T09:26:32.437Z,10.9,88,37.8
calidad-aire-01,2026-09-24T09:11:31.955Z,10.9,82,37.8
calidad-aire-01,2026-09-24T08:56:31.324Z,10.9,82,37.8
calidad-aire-01,2026-09-24T08:41:30.801Z,10.9,82,37.8
calidad-aire-01,2026-09-24T08:26:29.996Z,11.4,83,39.3
calidad-aire-01,2026-09-24T08:11:29.42Z,11.4,80,39.3
calidad-aire-01,2026-09-24T07:56:28.879Z,11.4,80,39.3
calidad-aire-01,2026-09-24T07:41:28.357Z,11.4,80,39.3
calidad-aire-01,2026-09-24T07:26:27.81Z,13,81,44.1
calidad-aire-01,2026-09-24T07:11:27.064Z,13,79,44.1
calidad-aire-01,2026-09-24T06:56:24.153Z,13,79,44.1
calidad-aire-01,2026-09-24T06:41:23.697Z,13,79,44.1
calidad-aire-01,2026-09-24T06:26:23.196Z,13.8,80,46.3
calidad-aire-01,2026-09-24T06:11:22.596Z,13.8,79,46.3
calidad-aire-01,2026-09-24T05:56:22.072Z,13.8,79,46.3
calidad-aire-01,2026-09-24T05:41:21.433Z,13.8,79,46.3
calidad-aire-01,2026-09-24T05:26:20.821Z,14.5,80,48.6
calidad-aire-01,2026-09-24T05:11:20.239Z,14.5,84,48.6
calidad-aire-01,2026-09-24T04:56:19.707Z,14.5,84,48.6
calidad-aire-01,2026-09-24T04:41:18.892Z,14.5,85,48.6
calidad-aire-01,2026-09-24T04:26:18.17Z,14.8,85,49.4
calidad-aire-01,2026-09-24T04:11:17.439Z,14.8,84,49.4
calidad-aire-01,2026-09-24T03:56:16.956Z,14.8,84,49.4
calidad-aire-01,2026-09-24T03:41:16.288Z,14.8,87,49.4
calidad-aire-01,2026-09-24T03:26:15.378Z,16.1,87,53.7
calidad-aire-01,2026-09-24T03:11:14.351Z,16.1,81,53.7
calidad-aire-01,2026-09-24T02:56:13.732Z,16.1,81,53.7
calidad-aire-01,2026-09-24T02:41:13.084Z,16.1,85,53.7
calidad-aire-01,2026-09-24T02:26:12.173Z,17.4,85,58
calidad-aire-01,2026-09-24T02:11:11.529Z,17.4,78,58
calidad-aire-01,2026-09-24T01:56:10.877Z,17.4,78,58
calidad-aire-01,2026-09-24T01:41:10.197Z,17.4,80,58
calidad-aire-01,2026-09-24T01:26:09.083Z,18.9,80,63.1
calidad-aire-01,2026-09-24T01:11:08.451Z,18.9,75,63.1
calidad-aire-01,2026-09-24T00:56:07.749Z,18.9,75,63.1
calidad-aire-01,2026-09-24T00:41:06.773Z,18.9,75,63.1
calidad-aire-01,2026-09-24T00:26:06.093Z,19.3,76,64.4
calidad-aire-01,2026-09-24T00:11:03.611Z,19.3,73,64.4
calidad-aire-01,2026-09-23T23:56:03.01Z,19.3,73,64.4
calidad-aire-01,2026-09-23T23:41:02.301Z,19.3,74,64.4
calidad-aire-01,2026-09-23T23:26:01.661Z,19.7,74,65.8
calidad-aire-01,2026-09-23T23:11:01.162Z,19.7,67,65.8
calidad-aire-01,2026-09-23T22:56:00.579Z,19.7,67,65.8
calidad-aire-01,2026-09-23T22:41:00.078Z,19.7,67,65.8
calidad-aire-01,2026-09-23T22:25:59.503Z,18.7,67,62.3
calidad-aire-01,2026-09-23T22:10:58.911Z,18.7,64,62.3
calidad-aire-01,2026-09-23T21:55:58.411Z,18.7,64,62.3
calidad-aire-01,2026-09-23T21:40:57.581Z,18.7,64,62.3
calidad-aire-01,2026-09-23T21:25:56.996Z,19.3,64,64.4
calidad-aire-01,2026-09-23T21:10:56.172Z,19.3,61,64.4
calidad-aire-01,2026-09-23T20:55:55.275Z,19.3,61,64.4
calidad-aire-01,2026-09-23T20:40:54.581Z,19.3,61,64.4
calidad-aire-01,2026-09-23T20:25:53.826Z,19.9,61,66.5
calidad-aire-01,2026-09-23T20:10:53.061Z,19.9,61,66.5
calidad-aire-01,2026-09-23T19:55:51.92Z,19.9,61,66.5
calidad-aire-01,2026-09-23T19:40:51.293Z,19.9,61,66.5
calidad-aire-01,2026-09-23T19:25:50.67Z,17.3,61,57.6
calidad-aire-01,2026-09-23T19:10:50.045Z,17.3,57,57.6
calidad-aire-01,2026-09-23T18:55:49.342Z,17.3,57,57.6
calidad-aire-01,2026-09-23T18:40:48.565Z,17.3,64,57.6
calidad-aire-01,2026-09-23T18:25:47.964Z,17,64,56.6
calidad-aire-01,2026-09-23T18:10:47.288Z,17,77,56.6
calidad-aire-01,2026-09-23T17:55:46.591Z,17,77,56.6
calidad-aire-01,2026-09-23T17:40:45.871Z,17,69,56.6
calidad-aire-01,2026-09-23T17:25:45.228Z,16.7,69,55.5
calidad-aire-01,2026-09-23T17:10:44.598Z,16.7,63,55.5
calidad-aire-01,2026-09-23T16:55:43.845Z,16.7,63,55.5
calidad-aire-01,2026-09-23T16:40:43.122Z,16.7,62,55.5
calidad-aire-01,2026-09-23T16:25:42.589Z,16.4,62,54.5
calidad-aire-01,2026-09-23T16:25:18.098Z,16.4,66,54.5
calidad-aire-01,2026-09-23T16:21:33.757Z,16.4,66,54.5
calidad-aire-01,2026-09-24T17:56:55.44Z,13.2,63,44.7
calidad-aire-01,2026-09-25T00:42:14.95Z,14,77,46.9
calidad-aire-01,2026-09-24T19:26:58.929Z,13.4,61,45.3
calidad-aire-01,2026-09-24T20:27:02.619Z,14.4,63,48.2
calidad-aire-01,2026-09-24T21:12:06.489Z,14.3,62,47.8
calidad-aire-01,2026-09-24T14:56:48.238Z,12.6,85,42.9
calidad-aire-01,2026-09-24T18:56:57.642Z,13.4,60,45.3
calidad-aire-01,2026-09-24T18:41:57.013Z,13.4,60,45.3
calidad-aire-01,2026-09-24T21:27:06.994Z,14.3,65,47.8
calidad-aire-01,2026-09-24T22:12:08.884Z,14.1,64,47.4
calidad-aire-01,2026-09-24T13:41:43.731Z,11.8,78,40.4
calidad-aire-01,2026-09-24T20:12:02.012Z,14.4,61,48.2
calidad-aire-01,2026-09-24T20:57:05.795Z,14.3,62,47.8
calidad-aire-01,2026-09-25T00:27:14.401Z,14.1,78,47.4
calidad-aire-01,2026-09-24T14:41:47.74Z,12.6,85,42.9
calidad-aire-01,2026-09-24T15:41:49.853Z,13.5,71,45.4
calidad-aire-01,2026-09-24T16:26:51.796Z,13.5,65,45.4
calidad-aire-01,2026-09-24T18:26:56.46Z,13.2,59,44.7
calidad-aire-01,2026-09-24T23:27:11.831Z,14.3,75,47.9
calidad-aire-01,2026-09-25T00:12:13.8Z,14.1,74,47.4
calidad-aire-01,2026-09-25T02:57:21.086Z,12.1,87,41.4
calidad-aire-01,2026-09-24T13:56:44.38Z,11.8,78,40.4
calidad-aire-01,2026-09-24T19:11:58.344Z,13.4,60,45.3
calidad-aire-01,2026-09-24T19:57:01.319Z,14.4,61,48.2
calidad-aire-01,2026-09-24T21:42:07.527Z,14.1,64,47.4
calidad-aire-01,2026-09-24T23:42:12.486Z,14.1,74,47.4
calidad-aire-01,2026-09-24T15:56:50.458Z,13.5,71,45.4
calidad-aire-01,2026-09-24T16:41:52.441Z,13,65,44
calidad-aire-01,2026-09-24T20:42:03.209Z,14.3,63,47.8
calidad-aire-01,2026-09-25T01:57:18.102Z,12.7,82,43.2
calidad-aire-01,2026-09-24T14:11:45.08Z,11.8,78,40.4
calidad-aire-01,2026-09-24T15:11:48.776Z,12.6,85,42.9
calidad-aire-01,2026-09-24T16:56:53.093Z,13,67,44
calidad-aire-01,2026-09-24T17:26:54.226Z,13,62,44
calidad-aire-01,2026-09-24T23:57:13.186Z,14.1,74,47.4
calidad-aire-01,2026-09-25T01:12:16.234Z,14,77,46.9
calidad-aire-01,2026-09-25T01:27:16.86Z,14,83,46.9
calidad-aire-01,2026-09-25T02:12:18.741Z,12.7,82,43.2
calidad-aire-01,2026-09-25T02:42:20.419Z,12.1,87,41.4
