id,ts,temperatura,humedadRelativa,iluminancia
dosel-sombra-01,2026-09-24T13:49:02.689Z,25.51,78.1,5742.8
dosel-sombra-01,2026-09-24T14:52:48.157Z,26.96,75.5,5853.6
dosel-sombra-01,2026-09-24T14:53:33.149Z,26.62,73.2,6037.8
dosel-sombra-01,2026-09-24T16:16:49.067Z,27.46,72.3,8540.3
dosel-sombra-01,2026-09-24T16:17:34.077Z,27.96,70.5,6993.8
dosel-sombra-01,2026-09-24T16:18:19.073Z,27.88,70.3,6960.8
dosel-sombra-01,2026-09-24T16:19:04.079Z,27.67,71.3,6576
dosel-sombra-01,2026-09-24T16:29:34.077Z,27.98,71.2,6797.9
dosel-sombra-01,2026-09-24T16:30:19.081Z,27.53,69.9,7780.7
dosel-sombra-01,2026-09-24T16:31:04.088Z,27.65,69.7,6896.9
dosel-sombra-01,2026-09-24T17:13:49.532Z,28.32,68.7,7496.3
dosel-sombra-01,2026-09-24T18:17:05.005Z,28.17,66.9,6663.6
dosel-sombra-01,2026-09-24T18:17:50Z,28.09,67.9,8286.4
dosel-sombra-01,2026-09-24T18:18:35.005Z,28.21,67.6,7577.6
dosel-sombra-01,2026-09-24T18:23:50.001Z,28.26,69,8028.5
dosel-sombra-01,2026-09-24T20:02:50.937Z,28.08,68.3,6100.5
dosel-sombra-01,2026-09-24T20:03:35.947Z,28.27,67.5,5410.4
dosel-sombra-01,2026-09-24T20:14:05.945Z,28.32,68.3,4412
dosel-sombra-01,2026-09-24T20:29:05.964Z,27.85,68.7,4505
dosel-sombra-01,2026-09-24T20:29:50.961Z,28.32,69.5,5035.5
dosel-sombra-01,2026-09-24T20:30:35.955Z,27.89,69.8,4200.1
dosel-sombra-01,2026-09-24T20:31:20.951Z,28.07,67.6,3822.8
dosel-sombra-01,2026-09-24T20:59:51.41Z,27.71,71,4142.8
dosel-sombra-01,2026-09-24T21:00:36.417Z,27.9,68.6,3157.1
dosel-sombra-01,2026-09-24T21:01:21.407Z,27.67,70.4,3195.1
dosel-sombra-01,2026-09-24T21:02:06.415Z,28.02,70.6,4307.4
dosel-sombra-01,2026-09-24T21:56:51.871Z,27.18,71.9,1906.2
dosel-sombra-01,2026-09-24T21:57:36.864Z,27.51,72.5,2421.6
dosel-sombra-01,2026-09-24T21:58:21.858Z,27.62,72.7,2033.5
dosel-sombra-01,2026-09-25T02:20:23.735Z,24.16,84,0
dosel-sombra-01,2026-09-25T02:21:08.742Z,23.5,83.9,0
dosel-sombra-01,2026-09-25T02:21:53.749Z,23.55,83.3,0
dosel-sombra-01,2026-09-25T02:49:39.19Z,23.33,85.3,0
dosel-sombra-01,2026-09-25T02:50:24.194Z,23.33,86.4,0
dosel-sombra-01,2026-09-25T02:51:09.187Z,23.41,84.5,0
dosel-sombra-01,2026-09-25T02:51:54.195Z,23.13,86.2,0
dosel-sombra-01,2026-09-25T02:52:39.186Z,23.7,84.9,0
dosel-sombra-01,2026-09-24T14:25:48.13Z,26.24,75.8,5271.2
dosel-sombra-01,2026-09-24T14:26:33.125Z,26.35,74.4,6690.8
dosel-sombra-01,2026-09-24T14:27:18.134Z,26.03,74.2,6359.6
dosel-sombra-01,2026-09-24T14:28:03.128Z,26.59,75.6,5775.1
dosel-sombra-01,2026-09-24T14:29:33.147Z,25.94,75.5,5215.4
dosel-sombra-01,2026-09-24T14:30:18.128Z,26.53,75.7,6219.4
dosel-sombra-01,2026-09-24T14:31:03.135Z,26.07,76.3,6262.7
dosel-sombra-01,2026-09-24T15:01:48.154Z,26.99,73.2,6966
dosel-sombra-01,2026-09-24T15:02:33.663Z,26.46,72.6,6385.6
dosel-sombra-01,2026-09-24T15:03:18.601Z,27.03,74.8,7136
dosel-sombra-01,2026-09-24T16:09:19.066Z,27.41,70.6,8123.4
dosel-sombra-01,2026-09-24T16:10:04.06Z,27.85,70.8,7035.7
dosel-sombra-01,2026-09-24T16:10:49.071Z,27.82,70.7,7868.3
dosel-sombra-01,2026-09-24T16:11:34.067Z,27.41,70.1,7974.7
dosel-sombra-01,2026-09-24T16:12:19.072Z,27.74,69.9,7005.8
dosel-sombra-01,2026-09-24T16:13:04.069Z,27.23,69.6,6583.3
dosel-sombra-01,2026-09-24T16:31:49.094Z,28.03,71.6,6572.9
dosel-sombra-01,2026-09-24T16:32:34.075Z,28.11,70,8630.6
dosel-sombra-01,2026-09-24T16:33:19.088Z,27.65,70.5,8539.2
dosel-sombra-01,2026-09-24T16:34:04.078Z,27.48,71.1,7096.1
dosel-sombra-01,2026-09-24T16:41:34.093Z,27.97,70,6919.1
dosel-sombra-01,2026-09-24T16:42:19.083Z,27.58,69.9,7315.2
dosel-sombra-01,2026-09-24T16:43:04.608Z,27.61,70.5,6599.1
dosel-sombra-01,2026-09-24T16:43:49.502Z,28.07,69.4,8051.6
dosel-sombra-01,2026-09-24T17:10:49.534Z,28.32,70.6,8272
dosel-sombra-01,2026-09-24T17:11:34.528Z,28.04,68.2,7683.5
dosel-sombra-01,2026-09-24T17:12:19.536Z,27.84,69,6520.1
dosel-sombra-01,2026-09-24T17:13:04.531Z,28.36,69,8200.3
dosel-sombra-01,2026-09-24T19:19:20.472Z,28.29,66.8,5334.8
dosel-sombra-01,2026-09-24T19:31:20.489Z,28.33,66.7,5046.5
dosel-sombra-01,2026-09-24T19:37:20.5Z,28.42,69.3,6618.3
dosel-sombra-01,2026-09-24T19:44:50.485Z,28.32,67.1,5992.6
dosel-sombra-01,2026-09-24T19:45:35.482Z,28.59,67.9,5379.3
dosel-sombra-01,2026-09-24T20:47:51.389Z,28.22,67.9,3804.9
dosel-sombra-01,2026-09-24T20:48:36.404Z,28.23,68.6,4422.3
dosel-sombra-01,2026-09-24T21:44:06.857Z,27.25,71.8,2169.2
dosel-sombra-01,2026-09-24T22:11:51.88Z,27.27,72.4,1581.5
dosel-sombra-01,2026-09-24T22:40:22.318Z,26.94,72.1,754.2
dosel-sombra-01,2026-09-24T22:41:07.309Z,27.29,72.1,644.5
dosel-sombra-01,2026-09-24T22:56:52.328Z,27.1,74,133.8
dosel-sombra-01,2026-09-24T22:57:37.335Z,27.08,74.2,96.3
dosel-sombra-01,2026-09-24T22:58:22.333Z,26.82,74.7,75.2
dosel-sombra-01,2026-09-24T23:04:22.345Z,26.49,74.9,0
dosel-sombra-01,2026-09-24T23:05:07.325Z,26.37,74.1,0
dosel-sombra-01,2026-09-25T00:24:07.816Z,25.71,77.7,0
dosel-sombra-01,2026-09-25T00:32:22.828Z,25.32,77.7,0
dosel-sombra-01,2026-09-25T00:33:07.828Z,25.22,79.5,0
dosel-sombra-01,2026-09-25T00:47:23.253Z,25.36,79,0
dosel-sombra-01,2026-09-25T00:48:08.267Z,25.34,80.3,0
dosel-sombra-01,2026-09-25T01:02:23.257Z,25.13,80.9,0
dosel-sombra-01,2026-09-25T01:03:08.275Z,25,81.1,0
dosel-sombra-01,2026-09-25T01:03:53.268Z,24.74,79.4,0
dosel-sombra-01,2026-09-25T01:32:23.79Z,24.5,81.1,0
dosel-sombra-01,2026-09-25T01:33:08.706Z,24.41,80.4,0
dosel-sombra-01,2026-09-24T14:01:47.701Z,26.07,77,6266
dosel-sombra-01,2026-09-24T14:02:32.709Z,25.7,76.6,5394
dosel-sombra-01,2026-09-24T14:03:17.706Z,26.17,76.3,6193.9
dosel-sombra-01,2026-09-24T14:59:33.157Z,26.71,72.8,5807.5
dosel-sombra-01,2026-09-24T15:00:18.151Z,27.03,73.9,6984.6
dosel-sombra-01,2026-09-24T15:01:03.145Z,26.48,74.7,7719.5
dosel-sombra-01,2026-09-24T15:59:34.059Z,27.56,71.7,7046.6
dosel-sombra-01,2026-09-24T16:00:19.065Z,27.49,71.9,7965.6
dosel-sombra-01,2026-09-24T16:01:04.071Z,27.12,71.9,7219.7
dosel-sombra-01,2026-09-24T16:22:49.067Z,27.47,69.8,6727
dosel-sombra-01,2026-09-24T16:23:34.078Z,27.54,70.2,8015.8
dosel-sombra-01,2026-09-24T17:07:49.519Z,28.32,70.5,8015
dosel-sombra-01,2026-09-24T17:08:34.53Z,28.38,68.9,8612.3
dosel-sombra-01,2026-09-24T17:09:19.528Z,27.75,70,7388.2
dosel-sombra-01,2026-09-24T17:10:04.523Z,27.8,69.1,7208.5
dosel-sombra-01,2026-09-24T17:29:34.535Z,28.02,69.9,7707.5
dosel-sombra-01,2026-09-24T17:30:19.543Z,27.94,68,7679.9
dosel-sombra-01,2026-09-24T17:31:04.533Z,28.48,69.2,8147.9
dosel-sombra-01,2026-09-24T19:32:05.499Z,28.8,68.3,6207.5
dosel-sombra-01,2026-09-24T19:32:50.49Z,28.13,68.4,5662.8
dosel-sombra-01,2026-09-24T19:33:35.497Z,28.66,68.3,6906.8
dosel-sombra-01,2026-09-24T19:49:20.508Z,28.35,68,6469
dosel-sombra-01,2026-09-24T20:32:05.973Z,27.93,70,4898.7
dosel-sombra-01,2026-09-24T20:32:50.972Z,28.05,69.7,4333.8
dosel-sombra-01,2026-09-24T20:33:35.976Z,28.2,68.5,4990.7
dosel-sombra-01,2026-09-24T21:02:51.426Z,27.84,70.1,3812.9
dosel-sombra-01,2026-09-24T21:03:36.418Z,27.78,68.5,4320
dosel-sombra-01,2026-09-24T21:04:21.421Z,28.3,70.3,3539.7
dosel-sombra-01,2026-09-24T21:05:06.415Z,28.37,69.7,3556.3
dosel-sombra-01,2026-09-24T21:14:51.405Z,28.13,68.7,3167.2
dosel-sombra-01,2026-09-24T21:15:36.415Z,27.88,70.8,3944.4
dosel-sombra-01,2026-09-24T21:16:21.424Z,27.92,71,2875.4
dosel-sombra-01,2026-09-24T21:17:06.409Z,28.06,69.4,3179.7
dosel-sombra-01,2026-09-24T21:20:51.418Z,27.48,71.5,3687.7
dosel-sombra-01,2026-09-24T21:21:36.427Z,27.77,69.9,3366.6
dosel-sombra-01,2026-09-24T21:22:21.425Z,27.64,69.6,3107.5
dosel-sombra-01,2026-09-24T21:23:06.418Z,27.61,70,3451.1
dosel-sombra-01,2026-09-24T22:04:21.873Z,27.58,70.8,1613.6
dosel-sombra-01,2026-09-24T22:05:06.882Z,27.6,72.7,1872.1
dosel-sombra-01,2026-09-24T22:27:37.306Z,27.27,72.9,1170.5
dosel-sombra-01,2026-09-24T22:28:22.312Z,27.1,72.1,1233.7
dosel-sombra-01,2026-09-24T22:54:37.332Z,26.45,74.3,214
dosel-sombra-01,2026-09-24T22:55:22.325Z,26.92,74.3,168.9
dosel-sombra-01,2026-09-24T22:56:07.318Z,27.13,74.5,114.5
dosel-sombra-01,2026-09-24T23:05:52.335Z,26.65,75.4,0
dosel-sombra-01,2026-09-24T23:06:37.343Z,26.96,75.1,0
dosel-sombra-01,2026-09-24T23:07:22.339Z,27.02,75.3,0
dosel-sombra-01,2026-09-24T23:08:07.343Z,26.85,74.6,0
dosel-sombra-01,2026-09-25T00:57:08.262Z,25.4,79.8,0
dosel-sombra-01,2026-09-25T00:57:53.258Z,25.1,80.7,0
dosel-sombra-01,2026-09-25T00:58:38.261Z,24.74,80.7,0
dosel-sombra-01,2026-09-25T01:53:23.726Z,24.42,82,0
dosel-sombra-01,2026-09-25T01:54:53.729Z,23.94,81.3,0
dosel-sombra-01,2026-09-25T01:55:38.737Z,23.82,82,0
dosel-sombra-01,2026-09-25T01:56:23.718Z,23.75,82.4,0
dosel-sombra-01,2026-09-25T02:09:08.742Z,23.88,82.1,0
dosel-sombra-01,2026-09-24T13:59:32.7Z,25.7,77.2,6238.3
dosel-sombra-01,2026-09-24T14:00:17.689Z,25.91,78.3,5361.2
dosel-sombra-01,2026-09-24T14:01:02.699Z,25.69,76.2,5765.3
dosel-sombra-01,2026-09-24T14:49:48.143Z,26.85,75.9,7072.8
dosel-sombra-01,2026-09-24T14:50:33.163Z,26.8,73.1,5340.3
dosel-sombra-01,2026-09-24T14:51:18.147Z,26.45,74.3,5911.8
dosel-sombra-01,2026-09-24T14:52:03.144Z,26.69,73,5608.2
dosel-sombra-01,2026-09-24T15:49:03.618Z,27.54,70.9,7972.5
dosel-sombra-01,2026-09-24T16:01:49.049Z,27.38,70.8,8497.6
dosel-sombra-01,2026-09-24T16:02:34.059Z,27.7,71.8,7795
dosel-sombra-01,2026-09-24T16:03:19.061Z,27.48,70.4,8312
dosel-sombra-01,2026-09-24T16:04:04.069Z,27.73,71.2,7426.4
dosel-sombra-01,2026-09-24T16:13:49.061Z,27.75,71.7,7428.2
dosel-sombra-01,2026-09-24T16:14:34.068Z,27.34,71,8238.1
dosel-sombra-01,2026-09-24T16:15:19.076Z,27.71,72.3,7317.5
