id,ts,lluviaLote,humedadFoliar
estacion-campo-01,2026-09-24T15:10:31.64Z,0,40.2
estacion-campo-01,2026-09-24T16:30:32.382Z,0,45.7
estacion-campo-01,2026-09-24T16:40:32.441Z,0,41.5
estacion-campo-01,2026-09-24T17:15:32.812Z,0,50.2
estacion-campo-01,2026-09-24T18:00:33.115Z,0,47.9
estacion-campo-01,2026-09-24T22:00:35.204Z,0,29.1
estacion-campo-01,2026-09-25T01:10:36.704Z,0,17.4
estacion-campo-01,2026-09-25T01:20:36.784Z,0,16.3
estacion-campo-01,2026-09-25T02:20:37.173Z,0,14.2
estacion-campo-01,2026-09-24T15:15:31.724Z,0,34.7
estacion-campo-01,2026-09-24T15:30:31.882Z,0,44.6
estacion-campo-01,2026-09-24T15:50:32.043Z,0,36.7
estacion-campo-01,2026-09-24T19:25:33.982Z,1.2,90.5
estacion-campo-01,2026-09-24T19:35:34.054Z,1,90.6
estacion-campo-01,2026-09-24T19:45:34.137Z,0,42.9
estacion-campo-01,2026-09-24T22:40:35.537Z,0,31.1
estacion-campo-01,2026-09-24T22:45:35.57Z,0,34.5
estacion-campo-01,2026-09-25T02:30:37.209Z,0,14.7
estacion-campo-01,2026-09-25T02:40:37.324Z,0,13.8
estacion-campo-01,2026-09-24T14:55:32.456Z,0,34.9
estacion-campo-01,2026-09-24T16:50:32.579Z,0,44.7
estacion-campo-01,2026-09-24T18:20:33.232Z,0,46.7
estacion-campo-01,2026-09-24T21:15:34.961Z,0,38.9
estacion-campo-01,2026-09-24T21:20:34.948Z,0,35.3
estacion-campo-01,2026-09-24T21:30:34.997Z,0,40.7
estacion-campo-01,2026-09-24T21:40:35.088Z,0,32.2
estacion-campo-01,2026-09-24T23:00:35.667Z,0,25.8
estacion-campo-01,2026-09-24T23:05:35.679Z,0,27.2
estacion-campo-01,2026-09-25T01:55:37.034Z,0,16.4
estacion-campo-01,2026-09-25T02:10:37.121Z,0,22
estacion-campo-01,2026-09-24T18:05:33.13Z,1,95
estacion-campo-01,2026-09-24T18:10:33.134Z,0,52.1
estacion-campo-01,2026-09-24T20:10:34.356Z,0,43.8
estacion-campo-01,2026-09-24T21:05:34.894Z,0,42.1
estacion-campo-01,2026-09-24T21:10:34.917Z,1.2,93.3
estacion-campo-01,2026-09-24T21:35:35.014Z,0,40.6
estacion-campo-01,2026-09-24T22:05:35.207Z,0,37.6
estacion-campo-01,2026-09-24T22:10:35.304Z,0,29.3
estacion-campo-01,2026-09-24T23:15:35.769Z,0,30.9
estacion-campo-01,2026-09-25T00:15:36.147Z,0,26.6
estacion-campo-01,2026-09-25T00:20:36.192Z,0.2,92.2
estacion-campo-01,2026-09-24T14:15:31.115Z,0,35.4
estacion-campo-01,2026-09-24T14:35:31.35Z,0,34.2
estacion-campo-01,2026-09-24T15:25:31.862Z,0,35.9
estacion-campo-01,2026-09-24T15:40:31.92Z,0,44.6
estacion-campo-01,2026-09-24T16:25:32.271Z,0,45.5
estacion-campo-01,2026-09-24T20:50:34.805Z,0,43.5
estacion-campo-01,2026-09-24T21:25:34.998Z,0,40.5
estacion-campo-01,2026-09-24T22:20:35.362Z,0,31.9
estacion-campo-01,2026-09-24T23:10:35.735Z,0,29.7
estacion-campo-01,2026-09-25T00:40:36.394Z,0,24.6
estacion-campo-01,2026-09-25T01:35:36.942Z,0,19.3
estacion-campo-01,2026-09-25T01:45:36.955Z,0,21.1
estacion-campo-01,2026-09-25T02:05:37.108Z,0,17.6
estacion-campo-01,2026-09-24T13:30:30.456Z,0,33.3
estacion-campo-01,2026-09-24T13:25:30.459Z,0,31.1
estacion-campo-01,2026-09-24T13:20:30.406Z,0,35.8
estacion-campo-01,2026-09-24T13:15:30.319Z,0,26.5
estacion-campo-01,2026-09-24T13:10:30.323Z,0,29.2
estacion-campo-01,2026-09-24T13:05:30.316Z,0,32.3
estacion-campo-01,2026-09-24T13:00:30.304Z,0,30.8
estacion-campo-01,2026-09-24T12:55:30.301Z,0.4,85.9
estacion-campo-01,2026-09-24T12:50:30.226Z,0,32.4
estacion-campo-01,2026-09-24T12:45:30.146Z,0,32.3
estacion-campo-01,2026-09-24T12:40:30.178Z,0,30.2
estacion-campo-01,2026-09-24T12:35:30.083Z,0,31.5
estacion-campo-01,2026-09-24T12:30:29.984Z,0,23.1
estacion-campo-01,2026-09-24T12:25:29.982Z,0,27.4
estacion-campo-01,2026-09-24T12:20:29.931Z,0,24.5
estacion-campo-01,2026-09-24T12:15:29.853Z,0,30.5
estacion-campo-01,2026-09-24T12:10:29.846Z,0,29.3
estacion-campo-01,2026-09-24T12:05:29.786Z,0,25.7
estacion-campo-01,2026-09-24T12:00:29.755Z,0,23.4
estacion-campo-01,2026-09-24T11:55:29.754Z,0,22.3
estacion-campo-01,2026-09-24T11:50:29.724Z,0,23.8
estacion-campo-01,2026-09-24T11:45:29.651Z,0,21.8
estacion-campo-01,2026-09-24T11:40:29.662Z,0,27.4
estacion-campo-01,2026-09-24T11:35:29.604Z,0,23.9
estacion-campo-01,2026-09-24T11:30:29.541Z,0,20.5
estacion-campo-01,2026-09-24T11:25:29.544Z,0,22.9
estacion-campo-01,2026-09-24T11:20:29.53Z,0,22.7
estacion-campo-01,2026-09-24T11:15:29.53Z,0,24
estacion-campo-01,2026-09-24T11:10:29.416Z,0,20.4
estacion-campo-01,2026-09-24T11:05:29.36Z,0,24.6
estacion-campo-01,2026-09-24T11:00:29.267Z,0,18.3
estacion-campo-01,2026-09-24T10:55:29.271Z,0,19
estacion-campo-01,2026-09-24T10:50:29.261Z,0,17.2
estacion-campo-01,2026-09-24T10:45:29.24Z,0,20.6
estacion-campo-01,2026-09-24T10:40:29.236Z,0,23.1
estacion-campo-01,2026-09-24T10:35:29.181Z,0,22.8
estacion-campo-01,2026-09-24T10:30:29.187Z,0,16.6
estacion-campo-01,2026-09-24T10:25:29.09Z,0,23.4
estacion-campo-01,2026-09-24T10:20:29.027Z,0,23.6
estacion-campo-01,2026-09-24T10:15:28.958Z,0,21.4
estacion-campo-01,2026-09-24T10:10:28.936Z,0,23.2
estacion-campo-01,2026-09-24T10:05:28.934Z,0,16.5
estacion-campo-01,2026-09-24T10:00:28.862Z,0,13.9
estacion-campo-01,2026-09-24T09:55:28.852Z,0,14.9
estacion-campo-01,2026-09-24T09:50:28.82Z,0,19.2
estacion-campo-01,2026-09-24T09:45:28.8Z,0,20.5
estacion-campo-01,2026-09-24T09:40:28.778Z,0,18.5
estacion-campo-01,2026-09-24T09:35:28.738Z,0,17.5
estacion-campo-01,2026-09-24T09:30:28.671Z,0,16.5
estacion-campo-01,2026-09-24T09:25:28.581Z,0,14
estacion-campo-01,2026-09-24T09:20:28.539Z,0,13.3
estacion-campo-01,2026-09-24T08:35:28.078Z,0,9.5
estacion-campo-01,2026-09-24T08:30:28.096Z,0,10.1
estacion-campo-01,2026-09-24T08:25:28.087Z,0,9
estacion-campo-01,2026-09-24T08:20:28.001Z,0,14.2
estacion-campo-01,2026-09-24T08:15:27.997Z,0,12.8
estacion-campo-01,2026-09-24T08:10:27.992Z,0,12.7
estacion-campo-01,2026-09-24T08:05:27.928Z,0,8.1
estacion-campo-01,2026-09-24T08:00:27.913Z,0,14.4
estacion-campo-01,2026-09-24T07:55:27.879Z,0,9.8
estacion-campo-01,2026-09-24T07:50:27.774Z,0,10
estacion-campo-01,2026-09-24T07:45:27.762Z,0,12.1
estacion-campo-01,2026-09-24T07:40:27.748Z,0,5
estacion-campo-01,2026-09-24T07:35:27.658Z,0,10.1
estacion-campo-01,2026-09-24T07:30:27.671Z,0,10.5
estacion-campo-01,2026-09-24T07:25:27.664Z,0,5
estacion-campo-01,2026-09-24T07:20:27.628Z,0,5.5
estacion-campo-01,2026-09-24T07:15:27.618Z,0,5
estacion-campo-01,2026-09-24T07:10:27.588Z,0,5.5
estacion-campo-01,2026-09-24T07:05:27.498Z,0,7
estacion-campo-01,2026-09-24T07:00:27.501Z,0,5.9
estacion-campo-01,2026-09-24T06:55:27.447Z,0,5
estacion-campo-01,2026-09-24T06:50:27.387Z,0,5.2
estacion-campo-01,2026-09-24T06:45:27.372Z,0,8.6
estacion-campo-01,2026-09-24T06:40:27.346Z,0,5
estacion-campo-01,2026-09-24T06:35:27.267Z,0,5
estacion-campo-01,2026-09-24T06:30:27.262Z,0,5
estacion-campo-01,2026-09-24T06:25:27.241Z,0,5
estacion-campo-01,2026-09-24T06:20:27.19Z,0,5.2
estacion-campo-01,2026-09-24T06:15:27.175Z,0,88.8
estacion-campo-01,2026-09-24T06:10:27.134Z,0,5
estacion-campo-01,2026-09-24T06:05:27.097Z,0,5
estacion-campo-01,2026-09-24T06:00:27.098Z,0,5
estacion-campo-01,2026-09-24T05:55:27.059Z,0,5.8
estacion-campo-01,2026-09-24T05:50:26.972Z,0,5.8
estacion-campo-01,2026-09-24T05:45:26.961Z,0,5
estacion-campo-01,2026-09-24T05:40:26.899Z,0,5
estacion-campo-01,2026-09-24T05:35:26.883Z,0,5
estacion-campo-01,2026-09-24T05:30:26.78Z,0,5
estacion-campo-01,2026-09-24T05:25:26.75Z,0,5
estacion-campo-01,2026-09-24T05:20:26.743Z,0,5
estacion-campo-01,2026-09-24T05:15:26.7Z,0,5
estacion-campo-01,2026-09-24T05:10:26.66Z,0,5
estacion-campo-01,2026-09-24T05:05:26.592Z,0,5
estacion-campo-01,2026-09-24T05:00:26.609Z,0,5
estacion-campo-01,2026-09-24T04:55:26.554Z,0,5
estacion-campo-01,2026-09-24T04:50:26.454Z,0,5
estacion-campo-01,2026-09-24T04:45:26.366Z,0.6,99.7
estacion-campo-01,2026-09-24T04:40:26.316Z,0,7.1
estacion-campo-01,2026-09-24T04:35:26.277Z,0,8.8
estacion-campo-01,2026-09-24T04:30:26.196Z,0,5
estacion-campo-01,2026-09-24T04:25:26.156Z,0,12.9
estacion-campo-01,2026-09-24T03:40:25.601Z,0.8,91.2
estacion-campo-01,2026-09-24T03:35:25.603Z,0,8
estacion-campo-01,2026-09-24T03:30:25.596Z,0,10.7
estacion-campo-01,2026-09-24T03:25:25.552Z,0,8.9
estacion-campo-01,2026-09-24T03:20:25.539Z,0,15.9
estacion-campo-01,2026-09-24T03:15:25.55Z,0,13.9
estacion-campo-01,2026-09-24T03:10:25.513Z,0,15.2
estacion-campo-01,2026-09-24T03:05:25.52Z,0,13
estacion-campo-01,2026-09-24T03:00:25.497Z,0,15.6
estacion-campo-01,2026-09-24T02:55:25.424Z,0,17.9
estacion-campo-01,2026-09-24T02:50:25.424Z,0,10.4
estacion-campo-01,2026-09-24T02:45:25.347Z,0,14.6
estacion-campo-01,2026-09-24T02:40:25.348Z,0,14.1
estacion-campo-01,2026-09-24T02:35:25.339Z,0,13.8
estacion-campo-01,2026-09-24T02:30:25.283Z,0,18.1
estacion-campo-01,2026-09-24T02:25:25.265Z,0,17.8
estacion-campo-01,2026-09-24T02:20:25.259Z,0,21.3
estacion-campo-01,2026-09-24T02:15:25.254Z,0,20.2
estacion-campo-01,2026-09-24T02:10:25.153Z,0,20.7
estacion-campo-01,2026-09-24T02:05:25.149Z,0,17.2
estacion-campo-01,2026-09-24T02:00:25.11Z,0,16.8
estacion-campo-01,2026-09-24T01:55:25.067Z,0,18
estacion-campo-01,2026-09-24T01:50:25.058Z,0,20.1
estacion-campo-01,2026-09-24T01:45:25.055Z,0,18.1
estacion-campo-01,2026-09-24T01:40:24.946Z,0,20.3
estacion-campo-01,2026-09-24T01:35:24.944Z,0,20.2
estacion-campo-01,2026-09-24T01:30:24.921Z,0,18.1
estacion-campo-01,2026-09-24T01:25:24.911Z,0,18.3
estacion-campo-01,2026-09-24T01:20:24.896Z,0,24.8
estacion-campo-01,2026-09-24T01:15:24.851Z,0,20.1
estacion-campo-01,2026-09-24T01:10:24.731Z,0,19.9
estacion-campo-01,2026-09-24T01:05:24.753Z,0.4,92.8
estacion-campo-01,2026-09-24T01:00:24.688Z,0,17.1
estacion-campo-01,2026-09-24T00:55:24.669Z,0,18.9
estacion-campo-01,2026-09-24T00:50:24.662Z,0,25.2
estacion-campo-01,2026-09-24T00:45:24.614Z,0,25.7
estacion-campo-01,2026-09-24T00:40:24.604Z,0,24.6
estacion-campo-01,2026-09-24T00:35:24.59Z,0,21.2
estacion-campo-01,2026-09-24T00:30:24.527Z,0,23.8
estacion-campo-01,2026-09-24T00:25:24.481Z,0,20.1
estacion-campo-01,2026-09-24T00:20:24.464Z,0,29.4
estacion-campo-01,2026-09-24T00:15:24.431Z,0.8,88.5
estacion-campo-01,2026-09-24T00:10:24.39Z,0,21.5
estacion-campo-01,2026-09-24T00:05:24.382Z,0,23.2
estacion-campo-01,2026-09-24T00:00:24.346Z,0,30.8
estacion-campo-01,2026-09-23T23:55:24.314Z,0,30.4
estacion-campo-01,2026-09-23T23:50:24.266Z,0,23.6
estacion-campo-01,2026-09-23T23:45:24.191Z,0,28.8
estacion-campo-01,2026-09-23T23:40:24.152Z,0,29.9
estacion-campo-01,2026-09-23T23:35:24.064Z,0,31.7
estacion-campo-01,2026-09-23T23:30:24.002Z,0,95.8
estacion-campo-01,2026-09-23T22:45:23.418Z,0,33.9
estacion-campo-01,2026-09-23T22:40:23.412Z,0,28.1
estacion-campo-01,2026-09-23T22:35:23.35Z,0,34.1
estacion-campo-01,2026-09-23T22:30:23.269Z,0,30.4
estacion-campo-01,2026-09-23T22:25:23.262Z,0,35.1
estacion-campo-01,2026-09-23T22:20:23.241Z,0,28.4
estacion-campo-01,2026-09-23T22:15:23.159Z,1,90.2
estacion-campo-01,2026-09-23T22:10:23.149Z,0.6,90.3
estacion-campo-01,2026-09-23T22:05:23.083Z,0,29.5
estacion-campo-01,2026-09-23T22:00:22.99Z,0,34.9
estacion-campo-01,2026-09-23T21:55:23.004Z,0.6,88.2
