id,ts,temperatura,humedadRelativa,lluvia,viento,radiacion
meteorologia-predio-01,2026-09-24T16:17:41.284Z,27.5,71,0.2,7.9,762
meteorologia-predio-01,2026-09-24T17:47:48.419Z,28.2,72,0.5,6.5,797
meteorologia-predio-01,2026-09-24T18:17:50.969Z,28,74,0.3,5.8,777
meteorologia-predio-01,2026-09-24T21:58:08.81Z,27.8,73,0,2.6,206
meteorologia-predio-01,2026-09-24T14:27:32.528Z,25.8,76,0.1,5.4,626
meteorologia-predio-01,2026-09-24T20:48:02.968Z,28.4,68,0,3.9,309
meteorologia-predio-01,2026-09-24T22:58:13.535Z,26.9,77,0,1.4,18
meteorologia-predio-01,2026-09-25T00:48:22.396Z,25.3,83,0,0.5,0
meteorologia-predio-01,2026-09-24T19:37:57.435Z,28.9,66,0,5.9,464
meteorologia-predio-01,2026-09-24T21:08:04.481Z,28.3,69,0,3.8,297
meteorologia-predio-01,2026-09-24T21:18:05.221Z,28.1,70,0,3.4,281
meteorologia-predio-01,2026-09-24T22:08:09.711Z,27.6,75,0,2.4,151
meteorologia-predio-01,2026-09-24T23:48:17.528Z,26.2,78,0,1.3,0
meteorologia-predio-01,2026-09-25T02:18:29.433Z,23.8,88,0,2.6,0
meteorologia-predio-01,2026-09-25T02:28:30.345Z,23.8,88,0,2.6,0
meteorologia-predio-01,2026-09-24T17:07:45.097Z,27.4,73,0.2,7.7,750
meteorologia-predio-01,2026-09-24T22:28:11.263Z,27.4,76,0,2.2,98
meteorologia-predio-01,2026-09-25T00:58:23.155Z,25.3,83,0,0.5,0
meteorologia-predio-01,2026-09-24T15:27:37.288Z,27.2,71,0.2,7.6,807
meteorologia-predio-01,2026-09-24T20:18:00.693Z,28.4,67,0,4.8,358
meteorologia-predio-01,2026-09-24T23:08:14.283Z,26.6,78,0,1,0
meteorologia-predio-01,2026-09-25T01:38:26.414Z,24.5,86,0,1.7,0
meteorologia-predio-01,2026-09-24T13:37:28.65Z,24.9,80,0,4.5,436
meteorologia-predio-01,2026-09-24T13:27:27.895Z,24.7,81,0,4.5,412
meteorologia-predio-01,2026-09-24T13:17:27.035Z,24.7,81,0,4.5,412
meteorologia-predio-01,2026-09-24T13:07:26.134Z,24.5,83,0,4.1,390
meteorologia-predio-01,2026-09-24T12:57:25.189Z,24.2,84,0,3.4,359
meteorologia-predio-01,2026-09-24T12:47:24.388Z,24.2,84,0,3.4,359
meteorologia-predio-01,2026-09-24T12:37:23.464Z,23.8,86,0,2.3,310
meteorologia-predio-01,2026-09-24T12:27:22.707Z,23.5,87,0,1.3,252
meteorologia-predio-01,2026-09-24T12:17:21.953Z,23.3,89,0,2.9,253
meteorologia-predio-01,2026-09-24T12:07:21.087Z,22.9,93,0,2.6,194
meteorologia-predio-01,2026-09-24T11:57:20.342Z,22.5,94,0,1.9,139
meteorologia-predio-01,2026-09-24T11:47:19.481Z,22.5,94,0,1.9,139
meteorologia-predio-01,2026-09-24T11:37:18.608Z,22.2,96,0,1.3,89
meteorologia-predio-01,2026-09-24T11:27:17.519Z,21.9,97,0,0.6,44
meteorologia-predio-01,2026-09-24T11:17:16.748Z,21.9,97,0,0.6,44
meteorologia-predio-01,2026-09-24T11:07:16.054Z,21.6,98,0,0.5,11
meteorologia-predio-01,2026-09-24T10:57:15.349Z,21.4,99,0,0.6,0
meteorologia-predio-01,2026-09-24T10:47:14.605Z,21.4,99,0,0.6,0
meteorologia-predio-01,2026-09-24T10:37:13.902Z,21.3,99,0,1.3,0
meteorologia-predio-01,2026-09-24T10:27:12.961Z,21.2,99,0,1.8,0
meteorologia-predio-01,2026-09-24T10:17:12.19Z,21.2,99,0,1.8,0
meteorologia-predio-01,2026-09-24T10:07:11.444Z,21.2,99,0,2.1,0
meteorologia-predio-01,2026-09-24T09:57:10.639Z,21.2,99,0,1.5,0
meteorologia-predio-01,2026-09-24T09:47:09.861Z,21.2,99,0,1.5,0
meteorologia-predio-01,2026-09-24T09:37:08.947Z,21.3,99,0,0.5,0
meteorologia-predio-01,2026-09-24T09:27:07.648Z,21.5,98,0,0.6,0
meteorologia-predio-01,2026-09-24T09:17:06.764Z,21.5,98,0,0.6,0
meteorologia-predio-01,2026-09-24T09:07:06.066Z,21.6,98,0,0.8,0
meteorologia-predio-01,2026-09-24T08:57:04.797Z,21.6,98,0,0,0
meteorologia-predio-01,2026-09-24T08:47:03.903Z,21.6,98,0,0,0
meteorologia-predio-01,2026-09-24T08:37:03.05Z,21.6,98,0,1.5,0
meteorologia-predio-01,2026-09-24T08:27:02.154Z,21.5,98,0,3,0
meteorologia-predio-01,2026-09-24T08:17:01.338Z,21.5,98,0,3,0
meteorologia-predio-01,2026-09-24T08:07:00.489Z,21.6,98,0,3.7,0
meteorologia-predio-01,2026-09-24T07:56:59.526Z,21.7,98,0,3.6,0
meteorologia-predio-01,2026-09-24T07:46:58.719Z,21.7,98,0,3.6,0
meteorologia-predio-01,2026-09-24T07:36:57.99Z,21.8,99,0,3,0
meteorologia-predio-01,2026-09-24T07:26:57.105Z,22.3,96,0,1.7,0
meteorologia-predio-01,2026-09-24T07:16:55.29Z,22.3,96,0.1,1.7,0
meteorologia-predio-01,2026-09-24T07:06:54.533Z,22.3,97,0,2,0
meteorologia-predio-01,2026-09-24T06:56:53.798Z,22.3,97,0,2.2,0
