id,ts,temperaturaCaja,humedadRelativa,masaEstimada
secado-fermentacion-01,2026-09-24T14:41:30.485Z,32.91,74.4,176.15
secado-fermentacion-01,2026-09-24T15:11:32.567Z,33.35,78,176.07
secado-fermentacion-01,2026-09-24T16:29:36.384Z,33.76,79.7,175.96
secado-fermentacion-01,2026-09-24T17:15:39.581Z,34.18,80.2,176.04
secado-fermentacion-01,2026-09-24T17:31:40.734Z,33.94,79.1,175.72
secado-fermentacion-01,2026-09-24T17:33:40.88Z,33.75,85.9,175.62
secado-fermentacion-01,2026-09-24T17:59:42.743Z,33.47,74.7,175.59
secado-fermentacion-01,2026-09-24T18:23:44.41Z,33.97,80.6,175.82
secado-fermentacion-01,2026-09-24T21:49:37.4Z,34.15,82.2,175.01
secado-fermentacion-01,2026-09-24T21:51:37.543Z,34.55,74.8,175.07
secado-fermentacion-01,2026-09-25T01:09:29.819Z,34.3,75.6,174.25
secado-fermentacion-01,2026-09-25T01:15:30.249Z,34.56,81.3,174.41
secado-fermentacion-01,2026-09-25T01:19:30.532Z,34.46,80,174.38
secado-fermentacion-01,2026-09-25T01:21:30.659Z,34.05,75,174.31
secado-fermentacion-01,2026-09-24T14:05:27.901Z,32.73,83.9,176.16
secado-fermentacion-01,2026-09-24T14:07:28.048Z,32.96,83.5,176.28
secado-fermentacion-01,2026-09-24T15:13:32.705Z,33.86,84.7,176.06
secado-fermentacion-01,2026-09-24T15:49:33.561Z,33.96,81.7,175.97
secado-fermentacion-01,2026-09-24T15:51:33.697Z,33.68,83.5,176.15
secado-fermentacion-01,2026-09-24T15:53:33.84Z,33.23,82,176.33
secado-fermentacion-01,2026-09-24T16:31:36.523Z,32.91,84.9,176.09
secado-fermentacion-01,2026-09-24T16:33:36.668Z,34.02,75.9,176.11
secado-fermentacion-01,2026-09-24T19:43:28.358Z,34.2,85.5,175.4
secado-fermentacion-01,2026-09-24T20:47:32.974Z,33.38,81.9,175.05
secado-fermentacion-01,2026-09-24T21:41:36.819Z,34.17,85,174.91
secado-fermentacion-01,2026-09-24T21:43:36.962Z,33.72,80.9,175.1
secado-fermentacion-01,2026-09-24T22:35:40.635Z,33.72,75.1,174.77
secado-fermentacion-01,2026-09-24T22:39:40.904Z,34.61,85.2,174.92
secado-fermentacion-01,2026-09-25T00:05:25.303Z,34.16,85.9,174.65
secado-fermentacion-01,2026-09-25T00:07:25.442Z,34.56,82,174.48
secado-fermentacion-01,2026-09-25T00:33:27.267Z,34.94,75.6,174.8
secado-fermentacion-01,2026-09-25T00:45:28.11Z,34.56,81.8,174.52
secado-fermentacion-01,2026-09-25T00:49:28.398Z,33.92,74.5,174.88
secado-fermentacion-01,2026-09-25T02:29:35.481Z,34.17,75.3,174.36
secado-fermentacion-01,2026-09-25T02:31:35.617Z,34.88,79.4,174.14
secado-fermentacion-01,2026-09-25T02:39:36.152Z,34.16,81.2,174.29
secado-fermentacion-01,2026-09-25T02:41:36.295Z,34.7,84,174.39
secado-fermentacion-01,2026-09-24T14:55:31.445Z,33.78,80.1,176.52
secado-fermentacion-01,2026-09-24T14:57:31.592Z,32.79,80.3,176.28
secado-fermentacion-01,2026-09-24T16:23:35.962Z,34.08,76.2,175.92
secado-fermentacion-01,2026-09-24T17:17:39.741Z,33.95,76.2,176.07
secado-fermentacion-01,2026-09-24T17:29:40.602Z,33.06,83.3,175.91
secado-fermentacion-01,2026-09-24T18:19:44.114Z,33.45,78.5,175.62
secado-fermentacion-01,2026-09-24T18:21:44.261Z,33.32,85.2,175.42
secado-fermentacion-01,2026-09-24T21:21:35.393Z,33.51,74.9,175.12
secado-fermentacion-01,2026-09-24T22:55:42.035Z,34.76,85.3,175.14
secado-fermentacion-01,2026-09-25T00:35:27.413Z,34.31,77.4,174.85
secado-fermentacion-01,2026-09-25T00:37:27.556Z,34.78,81.5,174.85
secado-fermentacion-01,2026-09-25T00:57:28.982Z,34.03,83,174.79
secado-fermentacion-01,2026-09-25T01:57:33.24Z,34.58,79.8,174.56
secado-fermentacion-01,2026-09-25T02:09:34.088Z,34.64,82.3,174.11
secado-fermentacion-01,2026-09-25T02:11:34.219Z,34.89,75.3,174.09
secado-fermentacion-01,2026-09-25T02:13:34.358Z,34.97,85.3,174.26
secado-fermentacion-01,2026-09-25T02:15:34.483Z,35.06,80.4,174.18
secado-fermentacion-01,2026-09-24T15:05:32.135Z,33.13,83.4,175.99
secado-fermentacion-01,2026-09-24T15:07:32.281Z,33.93,81,176.18
secado-fermentacion-01,2026-09-24T15:09:32.43Z,33.84,78.2,176.07
secado-fermentacion-01,2026-09-24T19:51:28.975Z,33.73,83.9,175.69
secado-fermentacion-01,2026-09-24T21:05:34.237Z,34.43,75.3,175.36
secado-fermentacion-01,2026-09-24T21:07:34.378Z,34.25,77.1,175.29
secado-fermentacion-01,2026-09-24T21:09:34.524Z,34.29,75.9,175.3
secado-fermentacion-01,2026-09-24T21:11:34.665Z,33.78,85.8,175.13
