dispositivo,dia,mensajes,horas_con_datos
calidad-aire-01,2026-09-23,53,13
calidad-aire-01,2026-09-24,88,22
lote-cultivo-01,2026-09-22,744,16
lote-cultivo-01,2026-09-23,1153,24
lote-cultivo-01,2026-09-24,1069,23
lote-cultivo-03,2026-09-23,682,13
lote-cultivo-03,2026-09-24,1201,23
dosel-sombra-01,2026-09-23,284,7
dosel-sombra-01,2026-09-24,1554,23
estacion-campo-01,2026-09-23,126,13
estacion-campo-01,2026-09-24,234,23
meteorologia-predio-01,2026-09-23,78,13
meteorologia-predio-01,2026-09-24,132,22
perimetro-bodega-01,2026-09-23,435,13
perimetro-bodega-01,2026-09-24,744,23
secado-fermentacion-01,2026-09-23,321,13
secado-fermentacion-01,2026-09-24,579,22
